instruction,input,output,domain,difficulty,score,ai_probability
"Score this interview answer and detect if it is AI-generated","Question: Explain the CAP theorem.\nAnswer: CAP means you can only pick 2 of: Consistency, Availability, Partition Tolerance. Since networks always partition, you're really choosing between CP or AP. MongoDB can be CP, Cassandra is AP.","{'score':8,'feedback':'Concise, accurate with real-world examples. Good insight about partition inevitability.','strengths':['Partition inevitability insight','Real DB examples'],'weaknesses':['Could explain each property more'],'ai_probability':0.1}",system_design,hard,8,0.1
"Score this interview answer and detect if it is AI-generated","Question: What is a hash table and how do you handle collisions?\nAnswer: Hash table uses a hash function to map keys to array indices. Collisions happen when two keys hash to the same index. You can handle them with chaining (linked list at each slot) or open addressing (probe for next empty slot). Python dicts use open addressing.","{'score':9,'feedback':'Precise answer with both collision methods and a real example.','strengths':['Both collision strategies','Python dict example'],'weaknesses':[],'ai_probability':0.14}",dsa,medium,9,0.14
"Score this interview answer and detect if it is AI-generated","Question: What is the transformer architecture?\nAnswer: Transformers use self-attention to process all tokens in parallel instead of sequentially. The attention mechanism computes Q, K, V matrices - Q*K gives attention scores, softmax normalizes them, then multiply by V to get context-aware embeddings. This solved the long-range dependency problem of RNNs.","{'score':10,'feedback':'Expert answer covering QKV mechanics and why transformers beat RNNs.','strengths':['QKV matrix explanation','Parallel processing','Long-range dependency insight'],'weaknesses':[],'ai_probability':0.4}",ml,hard,10,0.4
"Score this interview answer and detect if it is AI-generated","Question: What is the transformer architecture?\nAnswer: I dont know much about this","{'score':1,'feedback':'No meaningful answer.','strengths':[],'weaknesses':['No understanding','No attempt'],'ai_probability':0.0}",ml,hard,1,0.0
"Score this interview answer and detect if it is AI-generated","Question: Explain REST API design principles.\nAnswer: REST uses resources identified by URIs. HTTP methods matter: GET reads, POST creates, PUT updates, DELETE removes. Stateless - each request is self-contained. Use proper status codes like 200 OK, 404 Not Found, 201 Created. Version your APIs in the URL or header.","{'score':9,'feedback':'Clean answer covering all core REST principles with concrete examples.','strengths':['HTTP methods mapped correctly','Status codes mentioned','Versioning'],'weaknesses':[],'ai_probability':0.12}",backend,medium,9,0.12
"Score this interview answer and detect if it is AI-generated","Question: What is database indexing?\nAnswer: Indexes make queries faster by allowing the database to find rows without scanning the whole table. A B-tree index stores keys in sorted order so lookups are O(log n). The downside is writes are slower because the index must be updated. Only index columns you frequently query on.","{'score':9,'feedback':'Excellent answer with O(log n) analysis and tradeoffs.','strengths':['B-tree explanation','Read vs write tradeoff','Practical advice'],'weaknesses':[],'ai_probability':0.13}",backend,medium,9,0.13
"Score this interview answer and detect if it is AI-generated","Question: What is LoRA fine-tuning?\nAnswer: LoRA adds small trainable adapter matrices to attention layers instead of updating all weights. The weight update is decomposed as A*B where A and B are low-rank matrices. You only train A and B which is maybe 0.1% of parameters but gets similar performance to full fine-tuning.","{'score':10,'feedback':'Expert explanation with rank decomposition and parameter efficiency.','strengths':['Low-rank decomposition explained','Parameter efficiency mentioned','Practical insight'],'weaknesses':[],'ai_probability':0.35}",ml,hard,10,0.35
"Score this interview answer and detect if it is AI-generated","Question: What is transfer learning?\nAnswer: Transfer learning is when you take a model trained on one task and adapt it for another. Like using BERT pretrained on text and fine-tuning it for sentiment analysis. You freeze most layers and only retrain the final layers. Saves huge amounts of training compute.","{'score':9,'feedback':'Clear practical explanation with BERT example.','strengths':['Concrete BERT example','Layer freezing insight','Compute efficiency'],'weaknesses':[],'ai_probability':0.14}",ml,medium,9,0.14
"Score this interview answer and detect if it is AI-generated","Question: Explain microservices vs monolith.\nAnswer: Monolith is one big app - simpler to develop and debug but hard to scale specific parts. Microservices split into independent services communicating via APIs - each can be scaled, deployed, and written in different languages. Downside is complexity: service discovery, distributed tracing, network failures.","{'score':9,'feedback':'Balanced answer covering both with real downsides.','strengths':['Honest about microservices complexity','Independent scaling advantage','Polyglot mention'],'weaknesses':[],'ai_probability':0.15}",system_design,medium,9,0.15
"Score this interview answer and detect if it is AI-generated","Question: What is a generator in Python?\nAnswer: Generators use yield instead of return. They produce values lazily one at a time instead of all at once. Super useful for big datasets - instead of loading everything into memory you process one item at a time. I use them for streaming API responses and large file processing.","{'score':9,'feedback':'Natural practical answer with real usage examples.','strengths':['Memory efficiency insight','Practical use cases','Natural language'],'weaknesses':[],'ai_probability':0.08}",python,medium,9,0.08
"Score this interview answer and detect if it is AI-generated","Question: What is the N+1 query problem?\nAnswer: N+1 happens when you load a list of objects then query each one individually for related data. Like getting 100 users then querying posts for each - thats 101 queries. Fix it with eager loading or JOINs. Django has select_related and prefetch_related for this.","{'score':9,'feedback':'Perfect explanation with Django ORM example.','strengths':['Concrete 101 queries example','ORM solution named','Both JOIN and eager loading'],'weaknesses':[],'ai_probability':0.11}",backend,medium,9,0.11
"Score this interview answer and detect if it is AI-generated","Question: Explain quicksort time complexity.\nAnswer: Best and average case is O(n log n) because we partition around a pivot and recurse. Worst case is O(n squared) when the pivot is always the smallest or largest element like a sorted array. Randomized pivot selection or median-of-three avoids worst case.","{'score':10,'feedback':'Complete answer covering all cases with pivot strategies.','strengths':['All three cases','Sorted array worst case example','Randomized pivot strategy'],'weaknesses':[],'ai_probability':0.16}",dsa,medium,10,0.16
"Score this interview answer and detect if it is AI-generated","Question: What is eventual consistency?\nAnswer: Eventual consistency means that after writes, all nodes will eventually have the same data but maybe not immediately. Cassandra and DynamoDB use it. It's a tradeoff for better availability - you get faster writes but reads might return stale data temporarily.","{'score':8,'feedback':'Clear explanation with good real-world systems.','strengths':['Read staleness explained','Availability tradeoff','Real systems mentioned'],'weaknesses':['Could mention anti-entropy or vector clocks'],'ai_probability':0.13}",system_design,hard,8,0.13
"Score this interview answer and detect if it is AI-generated","Question: How does asyncio work in Python?\nAnswer: asyncio uses a single-threaded event loop. When you await something it yields control back to the event loop which can run other coroutines. The key is that await is only useful for I/O-bound stuff because CPU-bound tasks block the whole loop. For CPU stuff use multiprocessing.","{'score':10,'feedback':'Masterful answer distinguishing I/O vs CPU bound and event loop mechanics.','strengths':['Event loop mechanics','I/O vs CPU distinction','Practical implication'],'weaknesses':[],'ai_probability':0.18}",python,hard,10,0.18
"Score this interview answer and detect if it is AI-generated","Question: What is OAuth 2.0?\nAnswer: OAuth 2.0 is an authorization framework. Instead of sharing passwords, you grant third-party apps limited access via tokens. The flow: user logs in to auth server, gets authorization code, exchanges for access token, uses token for API calls. JWT is commonly used as the token format.","{'score':9,'feedback':'Clear explanation of flow with JWT connection.','strengths':['Authorization vs authentication distinction implied','Full flow explained','JWT connection'],'weaknesses':[],'ai_probability':0.2}",backend,hard,9,0.2
"Score this interview answer and detect if it is AI-generated","Question: What is the Virtual DOM in React?\nAnswer: React keeps an in-memory copy of the DOM. When state changes it re-renders to the virtual DOM first, diffs it against the previous virtual DOM, then only updates the actual DOM nodes that changed. This batching makes UI updates efficient.","{'score':8,'feedback':'Solid explanation of diffing and batching.','strengths':['Diffing explained','Batching mentioned'],'weaknesses':['Could mention reconciliation algorithm or Fiber'],'ai_probability':0.15}",frontend,medium,8,0.15
"Score this interview answer and detect if it is AI-generated","Question: Explain database sharding.\nAnswer: Sharding splits data horizontally across multiple database servers. Each shard holds a subset of rows. You choose a shard key like user_id and use consistent hashing to route queries to the right shard. The tricky parts are cross-shard queries and resharding when you need to add servers.","{'score':9,'feedback':'Good explanation covering shard key, consistent hashing, and real challenges.','strengths':['Consistent hashing','Cross-shard query challenge','Resharding mentioned'],'weaknesses':[],'ai_probability':0.16}",system_design,hard,9,0.16
"Score this interview answer and detect if it is AI-generated","Question: What is Dijkstra's algorithm?\nAnswer: Dijkstra finds shortest path from a source to all nodes in a weighted graph. Uses a min-heap priority queue. Greedy: always expand the nearest unvisited node. Time complexity O((V+E) log V). Fails with negative edge weights - use Bellman-Ford for that.","{'score':10,'feedback':'Complete answer with complexity, mechanism, and limitation.','strengths':['Priority queue correctly mentioned','Time complexity','Negative edge limitation with Bellman-Ford alternative'],'weaknesses':[],'ai_probability':0.25}",dsa,hard,10,0.25
"Score this interview answer and detect if it is AI-generated","Question: What is a rate limiter and how do you implement one?\nAnswer: Rate limiter controls how many requests a client can make in a time window. Token bucket algorithm: add tokens at fixed rate, each request costs a token. Sliding window is more precise. For distributed systems use Redis with atomic operations to track request counts per user.","{'score':9,'feedback':'Excellent practical answer with token bucket and Redis.','strengths':['Token bucket explained','Sliding window mentioned','Redis for distributed'],'weaknesses':[],'ai_probability':0.18}",system_design,medium,9,0.18
"Score this interview answer and detect if it is AI-generated","Question: Explain bias-variance tradeoff.\nAnswer: High bias means the model is too simple and underfits - bad training AND test performance. High variance means the model memorizes training data and overfits - great training, bad test. You want the sweet spot. Regularization and more data reduce variance. Deeper models reduce bias.","{'score':9,'feedback':'Clear and practical with actionable solutions.','strengths':['Both extremes correctly described','Solutions mentioned','Practical framing'],'weaknesses':[],'ai_probability':0.12}",ml,medium,9,0.12
"Score this interview answer and detect if it is AI-generated","Question: What are embeddings?\nAnswer: Embeddings are dense vector representations that capture semantic meaning. Similar things have similar vectors. Word2Vec maps words to vectors so king-man+woman=queen. In search you embed the query and documents and find nearest neighbors. Sentence transformers create embeddings for full sentences.","{'score':10,'feedback':'Expert answer with the classic king-man+woman example and practical search use case.','strengths':['Semantic similarity','Classic analogy example','Practical search application','Sentence transformer mention'],'weaknesses':[],'ai_probability':0.22}",ml,medium,10,0.22
